Label,Tweet,Tokenization,Stop_Removal,Tweet_Stemmed
Non_HS,"fadli zon minta mendagri segera menonaktifkan ahok jadi gubernur dki https    khvirwpdo","['fadli', 'zon', 'minta', 'mendagri', 'segera', 'menonaktifkan', 'ahok', 'jadi', 'gubernur', 'dki', 'https', 'khvirwpdo']","['fadli', 'zon', 'mendagri', 'menonaktifkan', 'ahok', 'gubernur', 'dki', 'https', 'khvirwpdo']","['fadli', 'zon', 'mendagri', 'nonaktif', 'ahok', 'gubernur', 'dki', 'https', 'khvirwpdo']"
Non_HS,"mereka terus melukai aksi dalam rangka memenjarakan ahok atau ahok gagal dalam pilkada","['mereka', 'terus', 'melukai', 'aksi', 'dalam', 'rangka', 'memenjarakan', 'ahok', 'atau', 'ahok', 'gagal', 'dalam', 'pilkada']","['melukai', 'aksi', 'rangka', 'memenjarakan', 'ahok', 'ahok', 'gagal', 'pilkada']","['luka', 'aksi', 'rangka', 'penjara', 'ahok', 'ahok', 'gagal', 'pilkada']"
Non_HS,"sylvi bagaimana gurbernur melakukan kekerasan perempuan buktinya banyak ibu mau foto bareng","['sylvi', 'bagaimana', 'gurbernur', 'melakukan', 'kekerasan', 'perempuan', 'buktinya', 'banyak', 'ibu', 'mau', 'foto', 'bareng']","['sylvi', 'gurbernur', 'kekerasan', 'perempuan', 'buktinya', 'foto', 'bareng']","['sylvi', 'gurbernur', 'keras', 'perempuan', 'bukti', 'foto', 'bareng']"
Non_HS,"ahmad dhani tak puas debat pilkada masalah jalan bekasi belum sempat terungkap https    mhoppluidu","['ahmad', 'dhani', 'tak', 'puas', 'debat', 'pilkada', 'masalah', 'jalan', 'bekasi', 'belum', 'sempat', 'terungkap', 'https', 'mhoppluidu']","['ahmad', 'dhani', 'puas', 'debat', 'pilkada', 'jalan', 'bekasi', 'terungkap', 'https', 'mhoppluidu']","['ahmad', 'dhani', 'puas', 'debat', 'pilkada', 'jalan', 'bekas', 'ungkap', 'https', 'mhoppluidu']"
Non_HS,"waspada ktp palsu kawal pilkada https    oooerqvsm","['waspada', 'ktp', 'palsu', 'kawal', 'pilkada', 'https', 'oooerqvsm']","['waspada', 'ktp', 'palsu', 'kawal', 'pilkada', 'https', 'oooerqvsm']","['waspada', 'ktp', 'palsu', 'kawal', 'pilkada', 'https', 'oooerqvsm']"
Non_HS,"masih bnyak hal agamis bisa dibahas kenapa pilkada terus apa tingkat keimanan anda cuma sebatas pilkada","['masih', 'bnyak', 'hal', 'agamis', 'bisa', 'dibahas', 'kenapa', 'pilkada', 'terus', 'apa', 'tingkat', 'keimanan', 'anda', 'cuma', 'sebatas', 'pilkada']","['bnyak', 'agamis', 'dibahas', 'pilkada', 'tingkat', 'keimanan', 'sebatas', 'pilkada']","['bnyak', 'agam', 'bahas', 'pilkada', 'tingkat', 'iman', 'batas', 'pilkada']"
Non_HS,"ahok akan integrasikan transportasi publik dengan sistem single ticketingu https    phpqvb","['ahok', 'akan', 'integrasikan', 'transportasi', 'publik', 'dengan', 'sistem', 'single', 'ticketingu', 'https', 'phpqvb']","['ahok', 'integrasikan', 'transportasi', 'publik', 'sistem', 'single', 'ticketingu', 'https', 'phpqvb']","['ahok', 'integrasi', 'transportasi', 'publik', 'sistem', 'single', 'ticketingu', 'https', 'phpqvb']"
Non_HS,"ahok mampu melawan korupsi ibukota bangun infrastruktur mencoba memperbaiki dengan berbagai trobosan dan works well","['ahok', 'mampu', 'melawan', 'korupsi', 'ibukota', 'bangun', 'infrastruktur', 'mencoba', 'memperbaiki', 'dengan', 'berbagai', 'trobosan', 'dan', 'works', 'well']","['ahok', 'melawan', 'korupsi', 'ibukota', 'bangun', 'infrastruktur', 'mencoba', 'memperbaiki', 'trobosan', 'works', 'well']","['ahok', 'lawan', 'korupsi', 'ibukota', 'bangun', 'infrastruktur', 'coba', 'baik', 'trobosan', 'works', 'well']"
Non_HS,"awasi kecurangan pilkada agus sylvi pakai aplikasi ini https    xwzwnufiu","['awasi', 'kecurangan', 'pilkada', 'agus', 'sylvi', 'pakai', 'aplikasi', 'ini', 'https', 'xwzwnufiu']","['awasi', 'kecurangan', 'pilkada', 'agus', 'sylvi', 'pakai', 'aplikasi', 'https', 'xwzwnufiu']","['awas', 'curang', 'pilkada', 'agus', 'sylvi', 'pakai', 'aplikasi', 'https', 'xwzwnufiu']"
Non_HS,"bisa gak kita seperti jokowi dan ahok aku kalem kamu tegas saling melengkapi","['bisa', 'gak', 'kita', 'seperti', 'jokowi', 'dan', 'ahok', 'aku', 'kalem', 'kamu', 'tegas', 'saling', 'melengkapi']","['gak', 'jokowi', 'ahok', 'kalem', 'melengkapi']","['gak', 'jokowi', 'ahok', 'kalem', 'lengkap']"
